run_num,num_in,variables,seed,epochs,batchsize,learnrate,reg1,reg2,node1,node2,fun1,fun2,trloss,teloss,shloss,trainPE,testPE,showPE,trainCC,testCC,showCC,TT
125,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,6,1600,300,0.009000000000000001,0.001,0.001,25,25,selu,sigmoid,0.27634000000000003,0.310682,0.307991,0.88697,0.857873,0.82837,0.942412,0.926716,0.9146139999999999,117.002581
131,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,2,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.277387,0.310204,0.307385,0.886114,0.858326,0.829083,0.942007,0.927046,0.914786,111.644633
132,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,3,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.27681500000000003,0.309792,0.307923,0.886591,0.858725,0.828567,0.9422520000000001,0.9272889999999999,0.9144450000000001,108.83841399999999
133,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,4,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.276097,0.310564,0.30739,0.887144,0.857989,0.829218,0.942616,0.926866,0.914807,107.109662
134,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,5,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.275439,0.31111300000000003,0.307125,0.887748,0.857475,0.829304,0.942895,0.9266030000000001,0.9146700000000001,108.725404
135,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,6,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.277098,0.311385,0.308408,0.886357,0.857257,0.827923,0.942087,0.92641,0.914224,107.213897
141,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,2,1600,300,0.01,0.0005,0.001,25,25,selu,sigmoid,0.265802,0.31314000000000003,0.310191,0.895442,0.855564,0.826116,0.9468690000000001,0.9254290000000001,0.913063,108.06131699999999
142,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,3,1600,300,0.01,0.0005,0.001,25,25,selu,sigmoid,0.265575,0.312427,0.310694,0.8956459999999999,0.856242,0.8254299999999999,0.946937,0.925743,0.912903,108.625659
143,55,F1+F5+T+N+V+P+Bt+Ey+Kp+ap+AE,4,1600,300,0.01,0.0005,0.001,25,25,selu,sigmoid,0.263405,0.31369400000000003,0.310368,0.8973200000000001,0.855091,0.825789,0.947866,0.9251389999999999,0.9125850000000001,107.35710900000001
151,70,F1+F2+F5+F7+T+N+V+P+Bt+Ey+Kp+Dst+ap+AE,2,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.272747,0.308893,0.304425,0.889892,0.859504,0.83247,0.944098,0.927717,0.91644,112.385808
152,70,F1+F2+F5+F7+T+N+V+P+Bt+Ey+Kp+Dst+ap+AE,3,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.271537,0.309316,0.305047,0.890862,0.859098,0.831725,0.944592,0.927465,0.9161790000000001,111.022908
153,70,F1+F2+F5+F7+T+N+V+P+Bt+Ey+Kp+Dst+ap+AE,4,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.270782,0.309387,0.30378,0.8914629999999999,0.859062,0.8332440000000001,0.944899,0.927422,0.916834,110.986038
154,70,F1+F2+F5+F7+T+N+V+P+Bt+Ey+Kp+Dst+ap+AE,5,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.27103,0.30935100000000004,0.305123,0.8913129999999999,0.859095,0.831557,0.9448690000000001,0.9274309999999999,0.915769,110.87808000000001
155,70,F1+F2+F5+F7+T+N+V+P+Bt+Ey+Kp+Dst+ap+AE,6,1600,300,0.01,0.001,0.001,25,25,selu,sigmoid,0.27218600000000004,0.309374,0.305452,0.890368,0.85905,0.83125,0.944355,0.927454,0.915836,111.552475
161,70,F1+F2+F5+F7+T+N+V+P+Bt+Ey+Kp+Dst+ap+AE,2,1600,300,0.01,0.0001,0.001,25,25,selu,sigmoid,0.225187,0.33166599999999996,0.315467,0.9249360000000001,0.838189,0.8205319999999999,0.963058,0.916465,0.9090309999999999,110.50165700000001
162,70,F1+F2+F5+F7+T+N+V+P+Bt+Ey+Kp+Dst+ap+AE,3,1600,300,0.01,0.0001,0.001,25,25,selu,sigmoid,0.222698,0.334922,0.316954,0.926593,0.83492,0.819162,0.963641,0.915027,0.909271,110.08401
163,70,F1+F2+F5+F7+T+N+V+P+Bt+Ey+Kp+Dst+ap+AE,4,1600,300,0.01,0.0001,0.001,25,25,selu,sigmoid,0.225487,0.333583,0.316874,0.9246190000000001,0.836217,0.81913,0.9627459999999999,0.9156110000000001,0.9092600000000001,111.172141
160,85,F1-F7+T+N+V+P+Bt+Ey+Kp+Dst+ap+AE,1,1600,300,0.012,0.001,0.001,25,25,selu,sigmoid,0.278065,0.310603,0.307191,0.885616,0.857967,0.8293659999999999,0.941867,0.926815,0.915209,117.852509
170,85,F1-F7+T+N+V+P+Bt+Ey+Kp+Dst+ap+AE,1,1600,300,0.012,0.001,0.001,20,20,selu,sigmoid,0.276882,0.31073,0.306039,0.886598,0.85782,0.830731,0.9422860000000001,0.9267350000000001,0.9158299999999999,110.272259
201,85,F1-F7+T+N+V+P+Bt+Ey+Kp+Dst+ap+AE,2,1600,300,0.012,0.001,0.001,20,20,selu,sigmoid,0.276348,0.310889,0.305247,0.8870100000000001,0.857699,0.83155,0.942512,0.926729,0.915966,104.985062
202,85,F1-F7+T+N+V+P+Bt+Ey+Kp+Dst+ap+AE,3,1600,300,0.012,0.001,0.001,20,20,selu,sigmoid,0.272514,0.31027,0.304138,0.8900870000000001,0.858214,0.832936,0.944159,0.9269430000000001,0.9166,105.11415600000001
203,85,F1-F7+T+N+V+P+Bt+Ey+Kp+Dst+ap+AE,4,1600,300,0.012,0.001,0.001,20,20,selu,sigmoid,0.273138,0.3109,0.305203,0.8895649999999999,0.857662,0.8318540000000001,0.943957,0.92679,0.916242,110.120798
204,85,F1-F7+T+N+V+P+Bt+Ey+Kp+Dst+ap+AE,5,1600,300,0.012,0.001,0.001,20,20,selu,sigmoid,0.273022,0.310925,0.304184,0.889677,0.857618,0.832926,0.943967,0.9266770000000001,0.9164260000000001,105.800891
205,85,F1-F7+T+N+V+P+Bt+Ey+Kp+Dst+ap+AE,6,1600,300,0.012,0.001,0.001,20,20,selu,sigmoid,0.276099,0.311572,0.306081,0.887229,0.857037,0.830568,0.942689,0.926412,0.915577,110.2002
